S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,2015,2016,2017,2018,2019,2020,2021
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,6482.0,6768.0,7098.0,7504.0,7823.0,8224.0,8652.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,7606.0,7761.0,7927.0,8087.0,8310.0,8524.0,8715.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,18341.0,18412.0,18395.0,18285.0,18184.0,18124.0,18046.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,15425.0,16091.0,16509.0,16846.0,17161.0,17474.0,17823.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,6936.0,7000.0,7171.0,7305.0,7419.0,7674.0,8040.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,9410.0,9505.0,9582.0,9748.0,9866.0,9974.0,10088.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,9949.0,10318.0,11135.0,12193.0,13192.0,14516.0,15966.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,5812.0,5838.0,5947.0,6045.0,6146.0,6247.0,6406.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,6740.0,6779.0,6818.0,6790.0,6792.0,6868.0,6890.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,21325.0,21621.0,21703.0,21796.0,21855.0,21893.0,21910.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,14133.0,14120.0,14220.0,14294.0,14411.0,14535.0,14684.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,5469.0,5480.0,5516.0,5563.0,5613.0,5651.0,5687.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,5014.0,5112.0,5229.0,5351.0,5462.0,5581.0,5732.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,13780.0,14004.0,14158.0,14330.0,14519.0,14747.0,15050.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,12333.0,12376.0,12439.0,12436.0,12463.0,12433.0,12379.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,4102.0,4086.0,4071.0,4066.0,4066.0,4073.0,4084.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,6035.0,5941.0,5948.0,5965.0,5992.0,6028.0,6052.0
1,New South Wales,1RNSW,Rest of NSW,106,Hunter Valley exc Newcastle,8377.0,8403.0,8360.0,8315.0,8276.0,8239.0,8200.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,23813.0,24032.0,24165.0,24238.0,24285.0,24288.0,24278.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,8626.0,8856.0,9430.0,9933.0,10469.0,11162.0,12170.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,15.0,11.0,10.0,9.0,9.0,8.0,7.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,15991.0,15894.0,15844.0,15754.0,15633.0,15452.0,15239.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,14181.0,14369.0,14324.0,14294.0,14258.0,14225.0,14186.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,10111.0,10118.0,10087.0,10058.0,10007.0,9841.0,9735.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,4357.0,4343.0,4337.0,4328.0,4317.0,4259.0,4220.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,7.0,5.0,5.0,5.0,5.0,5.0,5.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,14559.0,14706.0,15107.0,15615.0,16244.0,17590.0,19096.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,7112.0,7045.0,6973.0,6953.0,6955.0,6926.0,6928.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,7789.0,7862.0,8037.0,8176.0,8401.0,8565.0,8724.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,6088.0,6112.0,6100.0,6098.0,6083.0,6070.0,6044.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,7930.0,8051.0,8066.0,8095.0,8106.0,8106.0,8105.0
1,New South Wales,1RNSW,Rest of NSW,107,Illawarra,16641.0,17384.0,17873.0,18343.0,18747.0,19061.0,19361.0
